"資源名稱","資源類型","地點","服務內容","電話","網址"
"財團法人台灣省私立桃園仁愛之家","醫療健康","桃園市楊梅區","私立老人福利機構，收容對象：安養 養護，核定床數 403 床。負責人：李建榮","03-4643385",""
"財團法人台灣省私立桃園仁愛之家附設成功養護中心","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 160 床。負責人：李建榮","03-3394151",""
"桃園市私立長安老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 20 床。負責人：邱創權","03-3758059",""
"桃園市私立建元老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 38 床。負責人：劉張秀蓮","03-3631755",""
"桃園市私立逸園老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 48 床。負責人：曾明智","03-3319523",""
"桃園市私立慈家老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 40 床。負責人：蕭陳阿琴","03-3331155",""
"桃園市私立慈庭老人長期照顧中心(長期照護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：長照，核定床數 27 床。負責人：蕭陳阿琴","03-3319379",""
"桃園市私立逸慈老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：安養 養護，核定床數 49 床。負責人：李如雅","03-3015051",""
"桃園市私立台大老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：鄭淑卿","03-3555036",""
"桃園市私立康全老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 38 床。負責人：許寶全","03-3615577",""
"桃園市私立家悅老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：楊閎升","03-3342139",""
"桃園市私立康益老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 21 床。負責人：林永昇","03-3347259",""
"桃園市私立陽光老人長期照顧中心（養護型）","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 15 床。負責人：黃琴","03-3618728",""
"桃園市私立同安老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 40 床。負責人：曾國銘","03-3552546",""
"桃園市私立宜家老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 49 床。負責人：高嘉芸","03-3568881",""
"桃園市私立康健老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 48 床。負責人：許松峰","03-2552638",""
"桃園市私立吉安老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 34 床。負責人：趙玉華","03-3345631",""
"桃園市私立恩澤老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 41 床。負責人：李靜怡","03-3333636",""
"桃園市私立陽光空氣水老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 48 床。負責人：盧國裕","03-3588966",""
"桃園市私立民享老人長期照顧中心(養護型)","醫療健康","桃園市桃園區","私立老人福利機構，收容對象：養護，核定床數 39 床。負責人：黃靜如","03-3350800",""
